Time,PX,PY,PZ,VX,VY,VZ,AX,AY,AZ,MAX-M10S - Lat,MAX-M10S - Lon,MAX-M10S - Alt (m),MAX-M10S - Disp X (m),MAX-M10S - Disp Y (m),MAX-M10S - Disp Z (m),ALT,MAX,MAY,MAZ,BMI088andLIS3MDL - GyroX (rad/s),BMI088andLIS3MDL - GyroY (rad/s),BMI088andLIS3MDL - GyroZ (rad/s),BMI088andLIS3MDL - OriX,BMI088andLIS3MDL - OriY,BMI088andLIS3MDL - OriZ
57.8,-1.499,0.673,-6.051,-2.056,5.2,-7.795,1.116,8.909,-4.989,0,0,0,0,0,0,-4.011,0.532,8.993,4.935,-0.684,-0.034,-0.219,-0.487,-0.042,-0.028
58,-1.202,1.196,-5.98,-1.743,6.72,-6.943,-0.804,9.912,-1.69,0,0,0,0,0,0,-3.996,-0.991,7.815,6.299,-1.165,-0.004,-0.064,-0.406,-0.052,-0.023
58.2,-1.029,1.663,-5.757,-2.327,7.296,-4.398,-4.944,6.159,7.438,0,0,0,0,0,0,-4.017,-3.29,4.267,9.417,-4.033,-0.256,-0.469,-0.114,-0.093,0.007
58.4,-0.957,1.833,-5.44,-2.359,4.739,-3.973,-2.058,-9.082,-2.327,0,0,0,0,0,0,-3.964,-1.07,-6.817,6.673,-8.729,0.396,-0.277,0.479,-0.078,-0.033
58.6,-0.888,1.855,-5.198,-1.971,5.956,-2.928,0.166,9.741,1.603,0,0,0,0,0,0,-4.005,-0.395,-4.813,-8.612,-4.547,-0.249,-0.52,0.9,-0.018,-0.024
58.8,-0.797,1.952,-4.903,-1.63,6.048,-0.769,0.11,4.351,8.181,0,0,0,0,0,0,-4.054,-0.108,-0.374,-9.259,-0.215,-0.147,-0.283,0.975,0.015,-0.016
59,-0.686,2.077,-4.508,-1.143,6.948,0.671,1.053,8.616,5.605,0,0,0,0,0,0,-3.992,1.839,-4.137,-9.287,1.41,0,0.085,0.958,0.022,0.032
59.2,-0.572,2.269,-4.126,-0.956,7.809,1.604,-0.21,8.809,4.056,0,0,0,0,0,0,-3.932,-0.05,-5.323,-8.109,-0.207,0,0.181,0.961,0,0.013
59.4,-0.475,2.496,-3.787,-0.766,8.576,2.453,0.002,8.796,4.486,0,0,0,0,0,0,-3.874,-0.201,-5.085,-8.461,0.077,0.036,0.145,0.961,-0.017,0.004
59.6,-0.395,2.734,-3.574,-0.677,9.275,2.97,-0.345,8.933,3.85,0,0,0,0,0,0,-3.997,-0.625,-5.157,-8.232,0.467,-0.153,-0.151,0.954,-0.003,-0.019
59.8,-0.325,2.976,-3.442,-0.47,9.986,2.385,0.38,9.478,-1.346,0,0,0,0,0,0,-3.959,-0.007,-6.903,-6.644,2.058,0.113,0.153,0.899,-0.02,-0.003
60,-0.254,3.154,-3.509,-0.262,9.643,0.312,0.525,4.592,-9.011,0,0,0,0,0,0,-3.94,-0.208,-9.905,-2.097,1.749,0.175,0.066,0.793,-0.034,0.014
60.2,-0.209,3.229,-3.757,-0.47,9.38,-1.495,-1.451,5.133,-8.499,0,0,0,0,0,0,-3.92,-2.026,-9.618,-2.018,-0.844,-0.138,-0.026,0.809,-0.047,-0.036
