Time (s),Altitude (m),Vertical velocity (m/s),Vertical acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²)
2.788,189.767,91.153,-18.65,10.095,7.186e-4,89.996,6.134,0.355
2.798,190.678,90.967,-18.625,10.156,7.264e-4,89.996,6.131,0.228
2.808,191.586,90.781,-18.595,10.218,7.343e-4,89.996,6.129,0.148
2.818,192.493,90.595,-18.563,10.279,7.421e-4,89.996,6.128,0.103
2.828,193.398,90.41,-18.528,10.34,7.5e-4,89.996,6.127,0.087
2.838,194.301,90.225,-18.489,10.402,7.58e-4,89.996,6.126,0.1
2.848,195.203,90.04,-18.449,10.463,7.661e-4,89.996,6.125,0.14
2.858,196.102,89.856,-18.406,10.524,7.743e-4,89.996,6.123,0.201
2.868,197,89.672,-18.361,10.585,7.826e-4,89.996,6.121,0.284
2.878,197.896,89.488,-18.315,10.647,7.91e-4,89.996,6.118,0.383
2.888,198.79,89.306,-18.268,10.708,7.996e-4,89.996,6.113,0.495
2.898,199.682,89.123,-18.22,10.769,8.082e-4,89.996,6.108,0.615
2.908,200.572,88.941,-18.172,10.83,8.171e-4,89.996,6.101,0.755
2.918,201.461,88.76,-18.124,10.891,8.26e-4,89.996,6.093,0.895
2.928,202.347,88.579,-18.077,10.952,8.351e-4,89.996,6.083,1.028
2.938,203.232,88.398,-18.031,11.012,8.443e-4,89.996,6.072,1.147
2.948,204.115,88.218,-17.988,11.073,8.537e-4,89.996,6.06,1.249
2.958,204.996,88.038,-17.945,11.134,8.631e-4,89.996,6.047,1.345
2.968,205.876,87.859,-17.904,11.194,8.726e-4,89.996,6.033,1.421
2.978,206.754,87.68,-17.866,11.254,8.822e-4,89.996,6.019,1.469
2.988,207.63,87.502,-17.83,11.314,8.918e-4,89.995,6.004,1.49
2.998,208.504,87.324,-17.796,11.374,9.014e-4,89.995,5.989,1.482
3.008,209.376,87.146,-17.769,11.434,9.11e-4,89.995,5.975,1.391
3.018,210.247,86.968,-17.745,11.494,9.206e-4,89.995,5.961,1.264
3.028,211.115,86.791,-17.723,11.553,9.302e-4,89.995,5.949,1.12
3.038,211.982,86.614,-17.702,11.613,9.396e-4,89.995,5.939,0.967
3.048,212.848,86.437,-17.682,11.672,9.49e-4,89.995,5.93,0.809
3.058,213.711,86.26,-17.661,11.732,9.583e-4,89.995,5.923,0.668
3.068,214.573,86.084,-17.639,11.791,9.675e-4,89.995,5.917,0.538
3.078,215.433,85.907,-17.618,11.85,9.767e-4,89.995,5.912,0.417
3.088,216.291,85.731,-17.595,11.909,9.857e-4,89.995,5.908,0.311
3.098,217.147,85.555,-17.57,11.968,9.947e-4,89.995,5.906,0.222
3.108,218.002,85.38,-17.541,12.027,0.001,89.995,5.904,0.197
3.118,218.855,85.205,-17.508,12.086,0.001,89.995,5.902,0.204
3.128,219.706,85.03,-17.473,12.145,0.001,89.995,5.9,0.229
3.138,220.556,84.855,-17.437,12.204,0.001,89.995,5.897,0.272
3.148,221.403,84.681,-17.399,12.263,0.001,89.995,5.894,0.329
3.158,222.249,84.507,-17.365,12.322,0.001,89.995,5.891,0.343
3.168,223.094,84.334,-17.331,12.381,0.001,89.995,5.887,0.356
3.178,223.936,84.161,-17.297,12.44,0.001,89.995,5.884,0.38
3.188,224.777,83.988,-17.261,12.499,0.001,89.995,5.88,0.414
3.198,225.616,83.815,-17.225,12.557,0.001,89.995,5.875,0.458
3.208,226.453,83.643,-17.182,12.616,0.001,89.995,5.87,0.577
3.218,227.289,83.472,-17.138,12.675,0.001,89.995,5.864,0.716
3.228,228.122,83.301,-17.095,12.733,0.001,89.995,5.856,0.852
3.238,228.955,83.13,-17.052,12.792,0.001,89.995,5.847,0.979
3.248,229.785,82.96,-17.012,12.85,0.001,89.995,5.836,1.094
3.258,230.614,82.79,-16.975,12.909,0.001,89.995,5.825,1.165
3.268,231.441,82.62,-16.94,12.967,0.001,89.995,5.813,1.211
3.278,232.266,82.451,-16.907,13.025,0.001,89.995,5.801,1.238
3.288,233.09,82.282,-16.876,13.083,0.001,89.995,5.788,1.246
3.298,233.912,82.113,-16.847,13.141,0.001,89.995,5.776,1.236
3.308,234.732,81.945,-16.819,13.198,0.001,89.995,5.764,1.206
3.318,235.551,81.777,-16.793,13.256,0.001,89.995,5.752,1.159
3.328,236.368,81.609,-16.768,13.313,0.001,89.995,5.741,1.099
3.338,237.183,81.441,-16.745,13.371,0.001,89.995,5.73,1.026
3.348,237.997,81.274,-16.723,13.428,0.001,89.995,5.72,0.944
3.358,238.808,81.107,-16.704,13.485,0.001,89.995,5.711,0.818
3.368,239.619,80.94,-16.688,13.542,0.001,89.995,5.704,0.68
3.378,240.427,80.773,-16.671,13.599,0.001,89.995,5.698,0.545
3.388,241.234,80.607,-16.654,13.656,0.001,89.995,5.693,0.418
3.398,242.039,80.44,-16.637,13.713,0.001,89.995,5.689,0.301
3.408,242.843,80.274,-16.615,13.77,0.001,89.995,5.687,0.227
3.418,243.645,80.108,-16.592,13.827,0.001,89.995,5.685,0.177
3.428,244.445,79.942,-16.567,13.884,0.001,89.995,5.683,0.143
3.438,245.244,79.777,-16.54,13.94,0.001,89.994,5.682,0.127
3.448,246.041,79.611,-16.511,13.997,0.001,89.994,5.68,0.127
3.458,246.836,79.446,-16.481,14.054,0.001,89.994,5.679,0.145
3.468,247.63,79.282,-16.449,14.111,0.001,89.994,5.677,0.179
3.478,248.422,79.117,-16.416,14.168,0.001,89.994,5.675,0.227
3.488,249.212,78.953,-16.381,14.224,0.001,89.994,5.673,0.287
3.498,250.001,78.79,-16.346,14.281,0.001,89.994,5.67,0.356
3.508,250.788,78.626,-16.311,14.338,0.001,89.994,5.666,0.418
3.518,251.573,78.464,-16.277,14.394,0.001,89.994,5.661,0.481
3.528,252.357,78.301,-16.242,14.451,0.001,89.994,5.656,0.547
3.538,253.139,78.139,-16.208,14.507,0.001,89.994,5.65,0.615
3.548,253.92,77.977,-16.174,14.564,0.001,89.994,5.644,0.681
3.558,254.699,77.815,-16.138,14.62,0.001,89.994,5.637,0.767
3.568,255.476,77.654,-16.103,14.677,0.001,89.994,5.629,0.854
3.578,256.252,77.493,-16.068,14.733,0.001,89.994,5.62,0.932
3.588,257.026,77.333,-16.035,14.789,0.001,89.994,5.61,1
3.598,257.798,77.172,-16.003,14.845,0.002,89.994,5.6,1.055
3.608,258.569,77.013,-15.977,14.901,0.002,89.994,5.589,1.044
3.618,259.339,76.853,-15.954,14.957,0.002,89.994,5.579,1.007
3.628,260.106,76.693,-15.931,15.013,0.002,89.994,5.569,0.958
3.638,260.873,76.534,-15.909,15.068,0.002,89.994,5.56,0.901
3.648,261.637,76.375,-15.888,15.124,0.002,89.994,5.551,0.837
3.658,262.4,76.217,-15.863,15.179,0.002,89.994,5.543,0.82
3.668,263.161,76.058,-15.838,15.235,0.002,89.994,5.535,0.813
3.678,263.921,75.9,-15.813,15.29,0.002,89.994,5.526,0.799
3.688,264.679,75.742,-15.789,15.345,0.002,89.994,5.519,0.781
3.698,265.436,75.584,-15.765,15.4,0.002,89.994,5.511,0.758
3.708,266.191,75.426,-15.742,15.455,0.002,89.994,5.503,0.73
3.718,266.945,75.269,-15.72,15.51,0.002,89.994,5.496,0.699
3.728,267.696,75.112,-15.698,15.565,0.002,89.994,5.489,0.665
3.738,268.447,74.955,-15.675,15.62,0.002,89.994,5.483,0.631
3.748,269.196,74.799,-15.654,15.675,0.002,89.994,5.477,0.597
3.758,269.943,74.642,-15.634,15.73,0.002,89.994,5.471,0.537
3.768,270.688,74.486,-15.615,15.784,0.002,89.994,5.466,0.472
3.778,271.433,74.33,-15.596,15.839,0.002,89.994,5.462,0.412
3.788,272.175,74.174,-15.577,15.894,0.002,89.994,5.458,0.358
3.798,272.916,74.018,-15.556,15.948,0.002,89.994,5.455,0.312
3.808,273.655,73.863,-15.531,16.003,0.002,89.994,5.451,0.324
3.818,274.393,73.708,-15.503,16.057,0.002,89.994,5.448,0.357
3.828,275.13,73.553,-15.475,16.112,0.002,89.994,5.444,0.395
3.838,275.864,73.398,-15.446,16.166,0.002,89.994,5.44,0.438
3.848,276.598,73.244,-15.418,16.22,0.002,89.994,5.435,0.484
3.858,277.329,73.09,-15.392,16.275,0.002,89.994,5.431,0.492
3.868,278.059,72.936,-15.368,16.329,0.002,89.994,5.426,0.492
3.878,278.788,72.782,-15.344,16.383,0.002,89.994,5.421,0.493
3.888,279.515,72.629,-15.319,16.438,0.002,89.994,5.416,0.497
3.898,280.24,72.476,-15.294,16.492,0.002,89.994,5.411,0.503
3.908,280.964,72.323,-15.267,16.546,0.002,89.993,5.406,0.536
3.918,281.687,72.171,-15.24,16.6,0.002,89.993,5.4,0.576
3.928,282.408,72.018,-15.212,16.654,0.002,89.993,5.394,0.615
3.938,283.127,71.866,-15.185,16.708,0.002,89.993,5.388,0.652
3.948,283.845,71.715,-15.158,16.761,0.002,89.993,5.381,0.686
3.958,284.562,71.563,-15.133,16.815,0.002,89.993,5.374,0.706
3.968,285.276,71.412,-15.108,16.869,0.002,89.993,5.367,0.718
3.978,285.99,71.261,-15.084,16.923,0.002,89.993,5.36,0.727
3.988,286.702,71.11,-15.061,16.976,0.002,89.993,5.352,0.731
3.998,287.412,70.96,-15.038,17.03,0.002,89.993,5.345,0.731
4.008,288.121,70.81,-15.017,17.083,0.002,89.993,5.338,0.705
4.018,288.828,70.66,-14.998,17.136,0.002,89.993,5.331,0.67
4.028,289.534,70.51,-14.979,17.19,0.002,89.993,5.325,0.632
4.038,290.238,70.36,-14.96,17.243,0.002,89.993,5.318,0.594
4.048,290.941,70.21,-14.941,17.296,0.002,89.993,5.313,0.555
4.058,291.643,70.061,-14.919,17.349,0.002,89.993,5.307,0.547
4.068,292.343,69.912,-14.897,17.402,0.002,89.993,5.302,0.548
4.078,293.041,69.763,-14.875,17.455,0.002,89.993,5.296,0.549
4.088,293.738,69.615,-14.853,17.508,0.002,89.993,5.291,0.55
4.098,294.433,69.466,-14.831,17.561,0.002,89.993,5.285,0.551
4.108,295.127,69.318,-14.812,17.614,0.002,89.993,5.28,0.513
4.118,295.82,69.17,-14.795,17.667,0.002,89.993,5.275,0.466
4.128,296.511,69.022,-14.778,17.719,0.002,89.993,5.271,0.422
4.138,297.2,68.874,-14.76,17.772,0.002,89.993,5.266,0.381
4.148,297.888,68.727,-14.742,17.825,0.002,89.993,5.263,0.345
4.158,298.575,68.58,-14.721,17.877,0.002,89.993,5.259,0.334
4.168,299.26,68.432,-14.7,17.93,0.002,89.993,5.256,0.332
4.178,299.943,68.286,-14.678,17.982,0.002,89.993,5.253,0.336
4.188,300.625,68.139,-14.655,18.035,0.002,89.993,5.249,0.344
4.198,301.306,67.992,-14.633,18.087,0.002,89.993,5.246,0.356
4.208,301.985,67.846,-14.612,18.14,0.002,89.993,5.242,0.348
4.218,302.663,67.7,-14.591,18.192,0.002,89.993,5.239,0.338
4.228,303.339,67.554,-14.57,18.245,0.002,89.993,5.236,0.332
4.238,304.014,67.409,-14.549,18.297,0.002,89.993,5.232,0.331
4.248,304.687,67.263,-14.527,18.349,0.002,89.993,5.229,0.333
4.258,305.359,67.118,-14.503,18.402,0.002,89.993,5.226,0.361
4.268,306.03,66.973,-14.478,18.454,0.002,89.993,5.222,0.397
4.278,306.699,66.829,-14.454,18.506,0.002,89.993,5.218,0.434
4.288,307.366,66.684,-14.429,18.558,0.002,89.993,5.213,0.473
4.298,308.032,66.54,-14.404,18.61,0.002,89.993,5.208,0.511
4.308,308.697,66.396,-14.378,18.662,0.002,89.993,5.203,0.559
4.318,309.36,66.253,-14.353,18.714,0.002,89.993,5.197,0.609
4.328,310.022,66.109,-14.328,18.766,0.002,89.993,5.191,0.656
4.338,310.682,65.966,-14.303,18.818,0.002,89.993,5.184,0.698
4.348,311.341,65.823,-14.279,18.87,0.002,89.993,5.177,0.734
4.358,311.999,65.68,-14.259,18.922,0.002,89.993,5.169,0.732
4.368,312.655,65.538,-14.241,18.973,0.002,89.992,5.162,0.715
4.378,313.31,65.396,-14.223,19.025,0.003,89.992,5.155,0.694
4.388,313.963,65.253,-14.205,19.076,0.003,89.992,5.148,0.668
4.398,314.615,65.111,-14.188,19.128,0.003,89.992,5.142,0.64
4.408,315.265,64.97,-14.167,19.179,0.003,89.992,5.135,0.654
4.418,315.914,64.828,-14.145,19.231,0.003,89.992,5.129,0.678
4.428,316.562,64.687,-14.123,19.282,0.003,89.992,5.122,0.698
4.438,317.208,64.546,-14.102,19.333,0.003,89.992,5.115,0.712
4.448,317.853,64.405,-14.082,19.384,0.003,89.992,5.107,0.722
4.458,318.496,64.264,-14.065,19.435,0.003,89.992,5.1,0.698
4.468,319.138,64.123,-14.049,19.486,0.003,89.992,5.094,0.663
4.478,319.778,63.983,-14.034,19.537,0.003,89.992,5.087,0.625
4.488,320.418,63.843,-14.019,19.588,0.003,89.992,5.081,0.584
4.498,321.055,63.703,-14.004,19.639,0.003,89.992,5.075,0.543
4.508,321.692,63.563,-13.989,19.689,0.003,89.992,5.07,0.505
4.518,322.327,63.423,-13.974,19.74,0.003,89.992,5.065,0.469
4.528,322.96,63.283,-13.959,19.791,0.003,89.992,5.061,0.433
4.538,323.592,63.144,-13.944,19.841,0.003,89.992,5.057,0.399
4.548,324.223,63.004,-13.929,19.892,0.003,89.992,5.053,0.367
4.558,324.852,62.865,-13.911,19.942,0.003,89.992,5.049,0.358
4.568,325.48,62.726,-13.893,19.993,0.003,89.992,5.046,0.356
4.578,326.107,62.587,-13.875,20.043,0.003,89.992,5.042,0.357
4.588,326.732,62.449,-13.856,20.094,0.003,89.992,5.039,0.359
4.598,327.356,62.31,-13.838,20.144,0.003,89.992,5.035,0.364
4.608,327.978,62.172,-13.82,20.194,0.003,89.992,5.031,0.362
4.618,328.599,62.034,-13.802,20.245,0.003,89.992,5.028,0.36
4.628,329.219,61.896,-13.784,20.295,0.003,89.992,5.024,0.36
4.638,329.837,61.758,-13.765,20.345,0.003,89.992,5.02,0.361
4.648,330.454,61.621,-13.747,20.395,0.003,89.992,5.017,0.365
4.658,331.07,61.483,-13.726,20.445,0.003,89.992,5.013,0.4
4.668,331.684,61.346,-13.703,20.496,0.003,89.992,5.009,0.444
4.678,332.297,61.209,-13.681,20.546,0.003,89.992,5.004,0.487
4.688,332.908,61.072,-13.659,20.596,0.003,89.992,4.999,0.529
4.698,333.518,60.936,-13.637,20.646,0.003,89.992,4.994,0.57
4.708,334.127,60.8,-13.618,20.695,0.003,89.992,4.988,0.577
4.718,334.734,60.664,-13.601,20.745,0.003,89.992,4.982,0.574
4.728,335.34,60.528,-13.584,20.795,0.003,89.992,4.976,0.569
4.738,335.945,60.392,-13.568,20.845,0.003,89.992,4.971,0.563
4.748,336.548,60.256,-13.551,20.895,0.003,89.992,4.965,0.554
4.758,337.15,60.121,-13.535,20.944,0.003,89.992,4.96,0.542
4.768,337.75,59.986,-13.52,20.994,0.003,89.992,4.954,0.528
4.778,338.349,59.85,-13.504,21.043,0.003,89.992,4.949,0.512
4.788,338.947,59.715,-13.489,21.093,0.003,89.992,4.944,0.496
4.798,339.544,59.581,-13.474,21.142,0.003,89.992,4.939,0.48
4.808,340.139,59.446,-13.456,21.191,0.003,89.992,4.934,0.492
4.818,340.733,59.312,-13.437,21.241,0.003,89.991,4.929,0.512
4.828,341.325,59.177,-13.418,21.29,0.003,89.991,4.924,0.531
4.838,341.916,59.043,-13.4,21.339,0.003,89.991,4.919,0.548
4.848,342.506,58.909,-13.381,21.388,0.003,89.991,4.913,0.563
4.858,343.094,58.776,-13.369,21.438,0.003,89.991,4.908,0.527
4.868,343.681,58.642,-13.358,21.487,0.003,89.991,4.903,0.475
4.878,344.267,58.508,-13.348,21.536,0.003,89.991,4.898,0.425
4.888,344.852,58.375,-13.337,21.585,0.003,89.991,4.894,0.375
4.898,345.435,58.242,-13.326,21.633,0.003,89.991,4.891,0.328
4.908,346.016,58.108,-13.318,21.682,0.003,89.991,4.888,0.264
4.918,346.597,57.975,-13.309,21.731,0.003,89.991,4.885,0.199
4.928,347.176,57.842,-13.3,21.78,0.003,89.991,4.884,0.138
4.938,347.754,57.709,-13.291,21.829,0.003,89.991,4.883,0.084
4.948,348.33,57.576,-13.281,21.878,0.003,89.991,4.882,0.036
4.958,348.905,57.444,-13.268,21.927,0.003,89.991,4.882,0.008
4.968,349.479,57.311,-13.254,21.975,0.003,89.991,4.882,0.008
4.978,350.051,57.179,-13.238,22.024,0.003,89.991,4.882,0.018
4.988,350.623,57.046,-13.222,22.073,0.003,89.991,4.882,0.02
4.998,351.192,56.914,-13.205,22.122,0.003,89.991,4.882,0.015
5.008,351.761,56.782,-13.184,22.171,0.003,89.991,4.882,0.027
5.018,352.328,56.65,-13.16,22.219,0.003,89.991,4.882,0.083
5.028,352.894,56.519,-13.137,22.268,0.003,89.991,4.881,0.144
5.038,353.458,56.388,-13.113,22.317,0.003,89.991,4.879,0.207
5.048,354.022,56.257,-13.089,22.366,0.004,89.991,4.876,0.271
5.058,354.584,56.126,-13.066,22.415,0.004,89.991,4.873,0.331
5.068,355.144,55.995,-13.043,22.463,0.004,89.991,4.87,0.389
5.078,355.703,55.865,-13.02,22.512,0.004,89.991,4.866,0.447
5.088,356.261,55.735,-12.998,22.561,0.004,89.991,4.861,0.502
5.098,356.818,55.605,-12.977,22.609,0.004,89.991,4.856,0.555
5.108,357.374,55.475,-12.957,22.658,0.004,89.991,4.85,0.592
5.118,357.928,55.346,-12.938,22.706,0.004,89.991,4.844,0.622
5.128,358.48,55.217,-12.92,22.755,0.004,89.991,4.837,0.648
5.138,359.032,55.088,-12.902,22.803,0.004,89.991,4.831,0.67
5.148,359.582,54.959,-12.885,22.851,0.004,89.991,4.824,0.687
5.158,360.131,54.83,-12.869,22.899,0.004,89.991,4.817,0.699
5.168,360.679,54.701,-12.853,22.948,0.004,89.991,4.81,0.705
5.178,361.225,54.573,-12.838,22.996,0.004,89.991,4.803,0.707
5.188,361.77,54.445,-12.823,23.044,0.004,89.991,4.796,0.704
5.198,362.314,54.316,-12.809,23.092,0.004,89.991,4.789,0.697
5.208,362.857,54.188,-12.794,23.139,0.004,89.991,4.782,0.696
5.218,363.398,54.06,-12.78,23.187,0.004,89.991,4.775,0.695
5.228,363.938,53.933,-12.766,23.235,0.004,89.991,4.768,0.688
5.238,364.476,53.805,-12.752,23.283,0.004,89.991,4.761,0.678
5.248,365.014,53.678,-12.739,23.33,0.004,89.991,4.754,0.663
5.258,365.55,53.55,-12.725,23.378,0.004,89.991,4.748,0.659
5.268,366.085,53.423,-12.712,23.425,0.004,89.991,4.741,0.656
5.278,366.618,53.296,-12.698,23.472,0.004,89.991,4.735,0.649
5.288,367.151,53.169,-12.685,23.52,0.004,89.99,4.728,0.638
5.298,367.682,53.042,-12.673,23.567,0.004,89.99,4.722,0.624
5.308,368.212,52.916,-12.661,23.614,0.004,89.99,4.716,0.602
5.318,368.74,52.789,-12.65,23.661,0.004,89.99,4.71,0.576
5.328,369.267,52.663,-12.639,23.708,0.004,89.99,4.704,0.549
5.338,369.793,52.536,-12.629,23.755,0.004,89.99,4.699,0.52
5.348,370.318,52.41,-12.618,23.802,0.004,89.99,4.694,0.489
5.358,370.842,52.284,-12.61,23.849,0.004,89.99,4.689,0.446
5.368,371.364,52.158,-12.602,23.896,0.004,89.99,4.685,0.4
5.378,371.885,52.032,-12.594,23.943,0.004,89.99,4.681,0.354
5.388,372.405,51.906,-12.586,23.99,0.004,89.99,4.678,0.31
5.398,372.923,51.78,-12.578,24.037,0.004,89.99,4.675,0.267
5.408,373.44,51.655,-12.57,24.083,0.004,89.99,4.673,0.226
5.418,373.956,51.529,-12.561,24.13,0.004,89.99,4.671,0.189
5.428,374.471,51.403,-12.553,24.177,0.004,89.99,4.669,0.154
5.438,374.984,51.278,-12.544,24.223,0.004,89.99,4.667,0.123
5.448,375.496,51.152,-12.534,24.27,0.004,89.99,4.666,0.095
5.458,376.007,51.027,-12.524,24.317,0.004,89.99,4.666,0.07
5.468,376.517,50.902,-12.514,24.363,0.004,89.99,4.665,0.049
5.478,377.025,50.777,-12.503,24.41,0.004,89.99,4.665,0.032
5.488,377.532,50.652,-12.492,24.457,0.004,89.99,4.664,0.019
5.498,378.038,50.527,-12.48,24.503,0.004,89.99,4.664,0.011
5.508,378.543,50.402,-12.467,24.55,0.004,89.99,4.664,0.006
5.518,379.046,50.278,-12.454,24.597,0.004,89.99,4.664,0.004
5.528,379.548,50.153,-12.441,24.643,0.004,89.99,4.664,0.007
5.538,380.049,50.029,-12.427,24.69,0.004,89.99,4.664,0.014
5.548,380.549,49.905,-12.412,24.737,0.004,89.99,4.664,0.025
5.558,381.047,49.781,-12.398,24.783,0.004,89.99,4.663,0.026
5.568,381.545,49.657,-12.385,24.83,0.004,89.99,4.663,0.027
5.578,382.041,49.533,-12.371,24.876,0.004,89.99,4.663,0.031
5.588,382.535,49.409,-12.356,24.923,0.004,89.99,4.663,0.039
5.598,383.029,49.286,-12.341,24.97,0.004,89.99,4.662,0.051
5.608,383.521,49.163,-12.323,25.016,0.004,89.99,4.661,0.09
5.618,384.012,49.039,-12.303,25.063,0.004,89.99,4.66,0.139
5.628,384.502,48.916,-12.283,25.11,0.004,89.99,4.659,0.189
5.638,384.99,48.794,-12.264,25.156,0.005,89.99,4.657,0.24
5.648,385.478,48.671,-12.244,25.203,0.005,89.99,4.654,0.291
5.658,385.964,48.549,-12.225,25.249,0.005,89.99,4.651,0.336
5.668,386.449,48.427,-12.207,25.296,0.005,89.99,4.647,0.379
5.678,386.932,48.305,-12.189,25.342,0.005,89.99,4.643,0.421
5.688,387.415,48.183,-12.172,25.389,0.005,89.99,4.639,0.461
5.698,387.896,48.061,-12.154,25.435,0.005,89.99,4.634,0.5
5.708,388.376,47.94,-12.137,25.481,0.005,89.99,4.629,0.539
5.718,388.855,47.819,-12.121,25.527,0.005,89.99,4.623,0.576
5.728,389.332,47.697,-12.104,25.574,0.005,89.99,4.617,0.611
5.738,389.809,47.576,-12.088,25.62,0.005,89.99,4.611,0.641
5.748,390.284,47.456,-12.073,25.666,0.005,89.99,4.604,0.667
5.758,390.758,47.335,-12.058,25.712,0.005,89.989,4.598,0.697
5.768,391.231,47.214,-12.043,25.758,0.005,89.989,4.59,0.724
5.778,391.702,47.094,-12.028,25.804,0.005,89.989,4.583,0.747
5.788,392.172,46.974,-12.014,25.849,0.005,89.989,4.576,0.764
5.798,392.642,46.854,-12.001,25.895,0.005,89.989,4.568,0.777
5.808,393.11,46.734,-11.988,25.941,0.005,89.989,4.56,0.785
5.818,393.576,46.614,-11.976,25.986,0.005,89.989,4.552,0.788
5.828,394.042,46.494,-11.965,26.032,0.005,89.989,4.544,0.787
5.838,394.506,46.375,-11.954,26.077,0.005,89.989,4.536,0.78
5.848,394.969,46.255,-11.943,26.123,0.005,89.989,4.529,0.769
5.858,395.431,46.136,-11.936,26.168,0.005,89.989,4.521,0.733
5.868,395.892,46.017,-11.929,26.213,0.005,89.989,4.514,0.687
5.878,396.352,45.897,-11.923,26.258,0.005,89.989,4.507,0.639
5.888,396.81,45.778,-11.918,26.303,0.005,89.989,4.501,0.588
5.898,397.267,45.659,-11.913,26.348,0.005,89.989,4.496,0.536
5.908,397.723,45.54,-11.907,26.393,0.005,89.989,4.491,0.49
5.918,398.178,45.421,-11.902,26.438,0.005,89.989,4.486,0.445
5.928,398.632,45.302,-11.897,26.483,0.005,89.989,4.482,0.4
5.938,399.084,45.183,-11.892,26.528,0.005,89.989,4.478,0.355
5.948,399.535,45.064,-11.887,26.572,0.005,89.989,4.475,0.311
5.958,399.985,44.945,-11.882,26.617,0.005,89.989,4.472,0.268
5.968,400.434,44.826,-11.877,26.662,0.005,89.989,4.469,0.225
5.978,400.882,44.708,-11.872,26.706,0.005,89.989,4.467,0.185
5.988,401.328,44.589,-11.867,26.751,0.005,89.989,4.465,0.146
5.998,401.774,44.47,-11.862,26.796,0.005,89.989,4.464,0.11
6.008,402.218,44.352,-11.856,26.84,0.005,89.989,4.463,0.073
6.018,402.661,44.233,-11.851,26.885,0.005,89.989,4.463,0.04
6.028,403.102,44.115,-11.845,26.93,0.005,89.989,4.462,0.009
6.038,403.543,43.996,-11.839,26.974,0.005,89.989,4.463,0.018
6.048,403.982,43.878,-11.832,27.019,0.005,89.989,4.463,0.042
6.058,404.42,43.76,-11.826,27.064,0.005,89.989,4.463,0.071
6.068,404.857,43.641,-11.82,27.108,0.005,89.989,4.464,0.099
6.078,405.293,43.523,-11.814,27.153,0.005,89.989,4.465,0.123
6.088,405.728,43.405,-11.806,27.198,0.005,89.989,4.467,0.143
6.098,406.161,43.287,-11.798,27.242,0.005,89.989,4.468,0.158
6.108,406.594,43.169,-11.788,27.287,0.005,89.989,4.47,0.159
6.118,407.025,43.051,-11.776,27.332,0.005,89.989,4.471,0.152
6.128,407.455,42.934,-11.764,27.376,0.005,89.989,4.473,0.141
6.138,407.883,42.816,-11.751,27.421,0.005,89.989,4.474,0.127
6.148,408.311,42.699,-11.737,27.466,0.005,89.989,4.475,0.109
6.158,408.737,42.581,-11.719,27.511,0.005,89.989,4.476,0.065
6.168,409.163,42.464,-11.7,27.555,0.005,89.989,4.477,0.012
6.178,409.587,42.347,-11.681,27.6,0.006,89.989,4.476,0.042
6.188,410.01,42.231,-11.662,27.645,0.006,89.989,4.476,0.098
6.198,410.431,42.114,-11.643,27.69,0.006,89.989,4.475,0.154
6.208,410.852,41.998,-11.628,27.734,0.006,89.989,4.473,0.18
6.218,411.271,41.881,-11.615,27.779,0.006,89.988,4.471,0.198
6.228,411.689,41.765,-11.601,27.824,0.006,89.988,4.469,0.216
6.238,412.107,41.649,-11.588,27.868,0.006,89.988,4.467,0.235
6.248,412.522,41.534,-11.575,27.913,0.006,89.988,4.464,0.254
6.258,412.937,41.418,-11.561,27.958,0.006,89.988,4.462,0.274
6.268,413.351,41.302,-11.548,28.002,0.006,89.988,4.459,0.295
6.278,413.763,41.187,-11.535,28.047,0.006,89.988,4.456,0.315
6.288,414.175,41.072,-11.522,28.091,0.006,89.988,4.452,0.334
6.298,414.585,40.957,-11.509,28.136,0.006,89.988,4.449,0.353
6.308,414.994,40.842,-11.496,28.18,0.006,89.988,4.445,0.373
6.318,415.402,40.727,-11.483,28.225,0.006,89.988,4.442,0.394
6.328,415.808,40.612,-11.47,28.269,0.006,89.988,4.437,0.413
6.338,416.214,40.497,-11.458,28.314,0.006,89.988,4.433,0.43
6.348,416.618,40.383,-11.446,28.358,0.006,89.988,4.429,0.446
6.358,417.021,40.268,-11.434,28.402,0.006,89.988,4.424,0.459
6.368,417.424,40.154,-11.423,28.446,0.006,89.988,4.42,0.47
6.378,417.825,40.04,-11.412,28.491,0.006,89.988,4.415,0.478
6.388,418.224,39.926,-11.402,28.535,0.006,89.988,4.41,0.485
6.398,418.623,39.812,-11.391,28.579,0.006,89.988,4.405,0.49
6.408,419.021,39.698,-11.381,28.623,0.006,89.988,4.4,0.496
6.418,419.417,39.584,-11.371,28.667,0.006,89.988,4.395,0.5
6.428,419.812,39.471,-11.361,28.711,0.006,89.988,4.39,0.503
6.438,420.206,39.357,-11.352,28.755,0.006,89.988,4.385,0.503
6.448,420.599,39.243,-11.342,28.798,0.006,89.988,4.38,0.502
6.458,420.991,39.13,-11.332,28.842,0.006,89.988,4.375,0.51
6.468,421.382,39.017,-11.321,28.886,0.006,89.988,4.37,0.52
6.478,421.772,38.904,-11.311,28.93,0.006,89.988,4.365,0.528
6.488,422.16,38.791,-11.301,28.973,0.006,89.988,4.36,0.534
6.498,422.547,38.678,-11.291,29.017,0.006,89.988,4.354,0.537
6.508,422.934,38.565,-11.284,29.06,0.006,89.988,4.349,0.528
